benchmark	run	logical_ns	native_ns	ratio_milli
benchmark_product_field_filter_against_logical_btree_rows	1	13632612	531814	25634
benchmark_product_field_filter_against_logical_btree_rows	2	16126399	320422	50328
benchmark_product_field_filter_against_logical_btree_rows	3	14391361	352680	40805
benchmark_product_field_filter_against_logical_btree_rows	4	13508298	322896	41834
benchmark_product_field_filter_against_logical_btree_rows	5	15125363	326642	46305
benchmark_sum_tag_filter_against_boxed_logical_variants	1	962500	555549	1732
benchmark_sum_tag_filter_against_boxed_logical_variants	2	1113953	552494	2016
benchmark_sum_tag_filter_against_boxed_logical_variants	3	957642	530112	1806
benchmark_sum_tag_filter_against_boxed_logical_variants	4	992423	538304	1843
benchmark_sum_tag_filter_against_boxed_logical_variants	5	1040484	689877	1508
